WT21-B37-76	0.0026944761593017596
WT21-B37-75	0.0015331800703879547
WT25-B39-116	0.001468498205846392
WT23-B21-53	0.0013735211617069865
WT24-B26-10	0.0012761327383948053
WT24-B40-171	0.0012453071616765324
WT23-B39-340	0.0012429337458247107
WT23-B37-134	0.0012054188121274074
WT08-B18-400	0.0011447776973470482
WT13-B06-284	0.0011365609266225558
WT13-B06-273	0.0010549272510045466
WT01-B18-225	9.553823253919797E-4
WT04-B27-720	9.409680182751106E-4
WT24-B26-46	8.622409691278899E-4
WT23-B19-156	8.250718135922915E-4
WT04-B30-12	8.166242482433075E-4
WT25-B15-307	7.972237920311999E-4
WT07-B18-256	7.750510531201611E-4
WT24-B40-167	7.076379683262557E-4
WT14-B03-220	6.988965893908936E-4
WT18-B31-240	6.942280688424213E-4
WT14-B03-227	6.853291251271835E-4
WT04-B40-202	6.846831709579569E-4
WT08-B19-222	6.495327777932154E-4
WT23-B20-363	6.396386747475487E-4
WT27-B28-203	6.270801267190214E-4
WT13-B39-295	6.215384447855988E-4
WT13-B15-160	6.198587572906333E-4
WT12-B30-56	6.024542334509057E-4
WT10-B02-288	5.844489382182185E-4
WT14-B36-337	5.617061726092514E-4
WT21-B40-37	5.471884087564296E-4
WT21-B35-155	5.456960273608412E-4
WT23-B01-40	5.408539344172246E-4
WT08-B08-60	5.3612403794597E-4
WT22-B38-403	5.335796466467365E-4
WT13-B39-321	5.328981243889961E-4
WT04-B22-268	5.328693640512313E-4
WT14-B02-400	5.3281371418434E-4
WT18-B14-66	5.295616757973175E-4
WT06-B14-69	5.191608275076046E-4
WT23-B38-120	5.187026578998719E-4
WT06-B35-151	5.169287041868518E-4
WT10-B33-300	5.167741129371278E-4
WT14-B36-323	5.15860723984701E-4
WT14-B36-335	5.15860723984701E-4
WT14-B36-336	5.15860723984701E-4
WT14-B36-334	5.15860723984701E-4
WT06-B35-161	5.150227421320307E-4
WT27-B20-494	5.144832520713092E-4
WT23-B38-87	5.13809131247087E-4
WT27-B34-57	5.064141755623051E-4
WT27-B32-30	5.006804307269576E-4
WT04-B40-238	4.983073813031435E-4
WT23-B27-31	4.944057872784084E-4
WT07-B15-48	4.893777601290153E-4
WT21-B40-442	4.862016814406065E-4
WT11-B02-164	4.8319513132919753E-4
WT21-B37-70	4.762766340448917E-4
WT21-B37-72	4.756090686289782E-4
WT22-B14-357	4.746075253694225E-4
WT04-B34-218	4.6287309583856005E-4
WT14-B03-221	4.623628707898743E-4
WT12-B09-105	4.504810796595949E-4
WT15-B07-95	4.4013073170859416E-4
WT21-B03-285	4.220375046883762E-4
WT18-B28-345	4.2135647116529424E-4
WT27-B28-177	4.1950384445612915E-4
WT11-B19-232	4.1645130796878944E-4
WT11-B19-250	4.156066002010494E-4
WT20-B39-148	4.1343238966774705E-4
WT25-B31-102	4.089430552585753E-4
WT23-B23-51	4.0283677023570915E-4
WT21-B01-46	3.940363151035529E-4
WT14-B14-78	3.91958928064509E-4
WT06-B09-17	3.894462082129165E-4
WT23-B27-29	3.8549071780386333E-4
WT06-B14-163	3.749860461230474E-4
WT10-B30-205	3.7276039033814037E-4
WT12-B37-314	3.724006001416524E-4
WT13-B02-184	3.7119571422973953E-4
WT13-B16-437	3.7017882609173303E-4
WT08-B24-319	3.691046655288265E-4
WT12-B34-116	3.688777935157376E-4
WT24-B26-2	3.6801858259807613E-4
WT25-B17-38	3.641602870185532E-4
WT20-B03-150	3.6290889934396687E-4
WT14-B04-105	3.5981091390090077E-4
WT07-B23-234	3.568164796549413E-4
WT14-B14-85	3.549076031622932E-4
WT22-B14-364	3.516442687468989E-4
WT16-B01-282	3.486859136858292E-4
WT18-B14-71	3.4787638850002913E-4
WT13-B16-450	3.4618165360140914E-4
WT25-B23-127	3.460128005914471E-4
WT09-B39-178	3.456335145648796E-4
WT12-B17-278	3.450678546472113E-4
